,MAE,RMSE,MAPE,sMAPE
LSTM (대조군),0.04091242328286171,0.04991177096962929,39.237332344055176,83.4218442440033
Transformer,0.045725733041763306,0.05520191043615341,46.133625507354736,80.47826290130615
Transformer+Event,0.05261798948049545,0.06255824118852615,56.46480321884155,93.27284097671509
