항명,date,입항수,평균체류시간,체선율,컨테이너_비율,유조선_비율,벌크_비율,일반화물_비율
광양,2024-06-20,62,39.0758064516129,0.1290322580645161,0.3870967741935484,0.032258064516129,0.1935483870967742,0.1612903225806451
광양,2024-06-21,92,39.72427536231884,0.0217391304347826,0.3695652173913043,0.108695652173913,0.0869565217391304,0.2826086956521739
광양,2024-06-22,64,35.11770833333333,0.125,0.34375,0.15625,0.15625,0.15625
광양,2024-06-23,48,20.666666666666668,0.0,0.3333333333333333,0.2083333333333333,0.1666666666666666,0.125
광양,2024-06-24,68,29.476960784313725,0.0588235294117647,0.2058823529411764,0.2058823529411764,0.1470588235294117,0.1470588235294117
광양,2024-06-25,84,47.640476190476186,0.0714285714285714,0.238095238095238,0.1428571428571428,0.2142857142857142,0.1428571428571428
광양,2024-06-26,60,34.151666666666664,0.1,0.2,0.2333333333333333,0.1333333333333333,0.2
광양,2024-06-27,74,24.622072072072072,0.0,0.2432432432432432,0.1081081081081081,0.081081081081081,0.2702702702702703
광양,2024-06-28,86,22.17248062015504,0.0465116279069767,0.2790697674418604,0.2093023255813953,0.0465116279069767,0.1162790697674418
광양,2024-06-29,86,53.72558139534883,0.1162790697674418,0.3255813953488372,0.0930232558139534,0.1162790697674418,0.2558139534883721
광양,2024-06-30,44,62.72954545454545,0.1363636363636363,0.3636363636363636,0.0909090909090909,0.2272727272727272,0.0
광양,2024-07-01,54,44.053703703703704,0.1111111111111111,0.1851851851851851,0.1111111111111111,0.2592592592592592,0.1481481481481481
광양,2024-07-02,64,31.96302083333333,0.09375,0.28125,0.0625,0.09375,0.25
광양,2024-07-03,52,18.001282051282054,0.0,0.3076923076923077,0.3461538461538461,0.1153846153846153,0.0
광양,2024-07-04,78,31.5534188034188,0.1025641025641025,0.2307692307692307,0.1538461538461538,0.1282051282051282,0.1282051282051282
광양,2024-07-05,70,42.61904761904762,0.1142857142857142,0.3714285714285714,0.1142857142857142,0.2571428571428571,0.1142857142857142
광양,2024-07-06,72,38.13148148148148,0.0555555555555555,0.25,0.1944444444444444,0.0833333333333333,0.1388888888888889
광양,2024-07-07,60,52.235,0.1333333333333333,0.3,0.1,0.3,0.2333333333333333
광양,2024-07-08,40,31.739166666666662,0.05,0.2,0.3,0.05,0.15
광양,2024-07-09,70,37.889523809523816,0.0857142857142857,0.1142857142857142,0.2,0.2,0.2
광양,2024-07-10,46,48.46666666666667,0.1304347826086956,0.3478260869565217,0.0869565217391304,0.0869565217391304,0.1739130434782608
광양,2024-07-11,70,29.73190476190476,0.0571428571428571,0.2571428571428571,0.1142857142857142,0.1714285714285714,0.1428571428571428
광양,2024-07-12,74,25.018918918918917,0.027027027027027,0.4054054054054054,0.1216216216216216,0.1081081081081081,0.1351351351351351
광양,2024-07-13,68,83.32549019607843,0.1176470588235294,0.3823529411764705,0.088235294117647,0.1470588235294117,0.2352941176470588
광양,2024-07-14,52,24.673076923076923,0.0384615384615384,0.3461538461538461,0.1538461538461538,0.1153846153846153,0.1538461538461538
광양,2024-07-15,60,40.26888888888889,0.1,0.2,0.1333333333333333,0.2333333333333333,0.2
광양,2024-07-16,40,23.76,0.0,0.3,0.1,0.1,0.25
광양,2024-07-17,54,33.60061728395062,0.074074074074074,0.2962962962962963,0.2222222222222222,0.074074074074074,0.1481481481481481
광양,2024-07-18,72,33.85601851851852,0.0555555555555555,0.3333333333333333,0.1111111111111111,0.1666666666666666,0.1944444444444444
광양,2024-07-19,60,19.953333333333333,0.0,0.4,0.1666666666666666,0.1333333333333333,0.1666666666666666
광양,2024-07-20,62,36.777419354838706,0.064516129032258,0.1935483870967742,0.0967741935483871,0.1935483870967742,0.2258064516129032
광양,2024-07-21,66,24.854040404040404,0.0303030303030303,0.2727272727272727,0.1515151515151515,0.1212121212121212,0.1212121212121212
광양,2024-07-22,52,38.32115384615384,0.1153846153846153,0.3846153846153846,0.1538461538461538,0.1923076923076923,0.1153846153846153
광양,2024-07-23,64,36.72604166666667,0.09375,0.3125,0.0625,0.125,0.1875
광양,2024-07-24,70,49.92095238095238,0.1428571428571428,0.2285714285714285,0.1428571428571428,0.1428571428571428,0.1714285714285714
광양,2024-07-25,52,84.49423076923077,0.0769230769230769,0.1923076923076923,0.1538461538461538,0.1923076923076923,0.1153846153846153
광양,2024-07-26,80,42.46958333333333,0.05,0.25,0.2,0.25,0.15
광양,2024-07-27,68,33.29754901960784,0.0588235294117647,0.3823529411764705,0.2352941176470588,0.088235294117647,0.1764705882352941
광양,2024-07-28,60,55.12444444444444,0.1333333333333333,0.3,0.0666666666666666,0.1,0.1333333333333333
광양,2024-07-29,56,34.96071428571428,0.1071428571428571,0.2142857142857142,0.2142857142857142,0.1785714285714285,0.1071428571428571
광양,2024-07-30,78,44.26025641025641,0.1025641025641025,0.1794871794871795,0.2051282051282051,0.1538461538461538,0.1794871794871795
광양,2024-07-31,64,56.077083333333334,0.125,0.1875,0.1875,0.15625,0.1875
광양,2024-08-01,56,34.20654761904762,0.1071428571428571,0.2857142857142857,0.1785714285714285,0.1071428571428571,0.1785714285714285
광양,2024-08-02,64,45.52135416666667,0.125,0.28125,0.09375,0.09375,0.25
광양,2024-08-03,58,28.80402298850575,0.0,0.2413793103448276,0.1379310344827586,0.1724137931034483,0.1034482758620689
광양,2024-08-04,58,25.27816091954023,0.0344827586206896,0.4482758620689655,0.1034482758620689,0.2068965517241379,0.0
광양,2024-08-05,62,27.97204301075269,0.064516129032258,0.2580645161290322,0.1935483870967742,0.032258064516129,0.2580645161290322
광양,2024-08-06,50,25.586666666666662,0.04,0.4,0.16,0.12,0.2
